Metadata_Plate,negcon,poscon,trt
1053597806,32,32,318
1053597837,32,32,320
1053597844,32,32,320
1053597851,32,32,320
1053597875,32,32,320
1053597882,32,32,320
1053597929,32,32,320
1053597936,65,11,308
1053597943,32,32,320
1053597950,32,32,317
1053597967,32,32,320
1053597974,32,32,320
1053597981,32,32,320
1053597998,32,32,319
1053598001,32,32,320
1053599503,64,11,303
1053599534,32,32,80
1053599541,32,32,160
1053599558,32,32,80
1053599565,32,32,160
1053599572,32,32,320
1053599589,32,32,320
1053599596,32,32,320
1053599602,32,32,319
1053599619,32,32,320
1053599626,32,32,320
1053599633,32,32,320
1053599640,32,32,320
1053599657,32,32,319
1053599664,32,32,320
1053599671,32,32,320
1053599688,32,32,320
1053599695,32,32,320
1053600674,65,11,307
1053600681,384,0,0
1053600704,32,32,318
1053600711,32,32,319
1053600728,32,32,316
1053600735,32,32,318
1053600742,32,32,316
1053600759,32,32,320
1053600766,32,32,316
1053600773,32,32,318
1053600780,32,32,317
1053600797,32,32,310
1053600803,32,32,317
1053600810,32,32,314
1053600827,32,32,319
1053600834,32,32,315
1053600841,32,32,319
1053600858,32,32,316
1053600865,32,32,319
1053600872,32,32,313
1053600889,32,32,319
1053600896,32,32,319
1053601756,32,32,160
1053601763,32,32,198
1053601770,32,32,159
1053601787,32,32,200
1053601794,32,32,317
1053601800,32,32,319
1053601817,32,32,317
1053601824,32,32,318
1053601831,32,32,317
1053601848,32,32,318
1053601855,32,32,319
1053601862,32,32,318
1053601879,32,32,239
1053601909,32,32,319
1053601923,32,32,315
1053601947,32,32,318
1086289648,32,32,320
1086289655,384,0,0
1086289662,32,32,320
1086289679,32,32,320
1086289686,65,11,308
1086289693,32,32,320
1086289709,32,32,320
1086289716,32,32,320
1086289730,32,32,320
1086289747,32,32,320
1086289754,32,32,320
1086289761,32,32,310
1086289778,32,32,317
1086289785,32,32,313
1086289792,32,33,211
1086290323,32,32,296
1086290330,32,32,320
1086290347,32,32,317
1086290354,32,32,318
1086290361,32,32,314
1086290453,384,0,0
1086290477,384,0,0
1086290484,32,32,238
1086290521,32,32,318
1086290644,32,32,318
1086290668,32,32,318
1086291917,32,32,219
1086291924,32,32,239
1086291931,32,32,227
1086291948,32,33,248
1086291955,32,32,228
1086291962,32,32,230
1086291979,32,32,228
1086291986,32,32,245
1086292006,32,32,213
1086292013,32,32,220
1086292020,32,32,221
1086292037,65,11,307
1086292044,32,32,196
1086292051,32,32,205
1086292068,32,33,219
1086292075,32,33,199
1086292082,32,32,230
1086292099,32,32,226
1086292105,31,33,237
1086292112,32,32,248
1086292129,32,32,218
1086292136,32,32,217
1086292143,31,31,220
1086292150,32,32,232
1086292167,384,0,0
1086292259,384,0,0
1086292266,32,32,297
1086292273,32,32,295
1086292280,32,32,290
1086292297,32,32,286
1086292303,32,32,299
1086292310,32,32,297
1086292327,32,32,305
1086292341,32,32,299
1086292358,32,32,295
1086292365,32,32,303
1086292372,32,32,290
1086292389,65,11,307
1086292396,32,32,303
1086292402,32,32,303
1086292419,32,32,302
1086292426,32,32,305
1086292433,32,32,231
1086292440,32,32,228
1086292457,32,33,238
1086292464,32,32,248
1086292471,32,32,218
1086292488,32,32,219
1086292495,32,32,218
1086292501,32,32,233
1086292518,384,0,0
1086292723,32,32,317
1086292730,384,0,0
1086292747,32,32,320
1086292754,32,32,320
1086292761,32,32,319
1086292778,32,32,320
1086292792,32,32,320
1086292822,32,32,320
1086292839,32,32,320
1086292846,32,32,320
1086292853,32,32,320
1086292860,32,32,320
1086292884,65,11,307
1086292891,32,32,320
1086292907,32,32,320
1086292914,32,32,320
1086292921,32,32,320
1086292938,32,32,320
1086292945,32,32,320
1086292952,32,32,320
1086292969,32,32,320
