,Metadata_Plate,negcon,poscon,trt
0,1053597806,32,32,318
1,1053597837,32,32,320
2,1053597844,32,32,320
3,1053597851,32,32,320
4,1053597875,32,32,320
5,1053597882,32,32,320
6,1053597929,32,32,320
7,1053597936,65,11,308
8,1053597943,32,32,320
9,1053597950,32,32,317
10,1053597967,32,32,320
11,1053597974,32,32,320
12,1053597981,32,32,320
13,1053597998,32,32,319
14,1053598001,32,32,320
15,1053599503,64,11,303
16,1053599534,32,32,80
17,1053599541,32,32,160
18,1053599558,32,32,80
19,1053599565,32,32,160
20,1053599572,32,32,320
21,1053599589,32,32,320
22,1053599596,32,32,320
23,1053599602,32,32,319
24,1053599619,32,32,320
25,1053599626,32,32,320
26,1053599633,32,32,320
27,1053599640,32,32,320
28,1053599657,32,32,319
29,1053599664,32,32,320
30,1053599671,32,32,320
31,1053599688,32,32,320
32,1053599695,32,32,320
33,1053600674,65,11,307
34,1053600681,384,0,0
35,1053600704,32,32,318
36,1053600711,32,32,319
37,1053600728,32,32,316
38,1053600735,32,32,318
39,1053600742,32,32,316
40,1053600759,32,32,320
41,1053600766,32,32,316
42,1053600773,32,32,318
43,1053600780,32,32,317
44,1053600797,32,32,310
45,1053600803,32,32,317
46,1053600810,32,32,314
47,1053600827,32,32,319
48,1053600834,32,32,315
49,1053600841,32,32,319
50,1053600858,32,32,316
51,1053600865,32,32,319
52,1053600872,32,32,313
53,1053600889,32,32,319
54,1053600896,32,32,319
55,1053601756,32,32,160
56,1053601763,32,32,198
57,1053601770,32,32,159
58,1053601787,32,32,200
59,1053601794,32,32,317
60,1053601800,32,32,319
61,1053601817,32,32,317
62,1053601824,32,32,318
63,1053601831,32,32,317
64,1053601848,32,32,318
65,1053601855,32,32,319
66,1053601862,32,32,318
67,1053601879,32,32,239
68,1053601909,32,32,319
69,1053601923,32,32,315
70,1053601947,32,32,318
71,1086289648,32,32,320
72,1086289655,384,0,0
73,1086289662,32,32,320
74,1086289679,32,32,320
75,1086289686,65,11,308
76,1086289693,32,32,320
77,1086289709,32,32,320
78,1086289716,32,32,320
79,1086289730,32,32,320
80,1086289747,32,32,320
81,1086289754,32,32,320
82,1086289761,32,32,310
83,1086289778,32,32,317
84,1086289785,32,32,313
85,1086289792,32,33,211
86,1086290323,32,32,296
87,1086290330,32,32,320
88,1086290347,32,32,317
89,1086290354,32,32,318
90,1086290361,32,32,314
91,1086290453,384,0,0
92,1086290477,384,0,0
93,1086290484,32,32,238
94,1086290521,32,32,318
95,1086290644,32,32,318
96,1086290668,32,32,318
97,1086291917,32,32,219
98,1086291924,32,32,239
99,1086291931,32,32,227
100,1086291948,32,33,248
101,1086291955,32,32,228
102,1086291962,32,32,230
103,1086291979,32,32,228
104,1086291986,32,32,245
105,1086292006,32,32,213
106,1086292013,32,32,220
107,1086292020,32,32,221
108,1086292037,65,11,307
109,1086292044,32,32,196
110,1086292051,32,32,205
111,1086292068,32,33,219
112,1086292075,32,33,199
113,1086292082,32,32,230
114,1086292099,32,32,226
115,1086292105,31,33,237
116,1086292112,32,32,248
117,1086292129,32,32,218
118,1086292136,32,32,217
119,1086292143,31,31,220
120,1086292150,32,32,232
121,1086292167,384,0,0
122,1086292259,384,0,0
123,1086292266,32,32,297
124,1086292273,32,32,295
125,1086292280,32,32,290
126,1086292297,32,32,286
127,1086292303,32,32,299
128,1086292310,32,32,297
129,1086292327,32,32,305
130,1086292341,32,32,299
131,1086292358,32,32,295
132,1086292365,32,32,303
133,1086292372,32,32,290
134,1086292389,65,11,307
135,1086292396,32,32,303
136,1086292402,32,32,303
137,1086292419,32,32,302
138,1086292426,32,32,305
139,1086292433,32,32,231
140,1086292440,32,32,228
